"confidence","candidate_score","issue","source","source_line","original_target","suggested_target","resolved_target","requested_anchor","target_file","link_text","candidate_anchor","candidate_label","candidate_type","candidate_line","anchor_count","reasons","second_candidate","second_score"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","175","cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-7","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-7","ci-not-updated-7","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs not updated in last 7 days","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","177","cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-30","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-30","ci-not-updated-30","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs not updated in last 30 days","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","179","cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-60","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-60","ci-not-updated-60","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs not updated in last 60 days","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","181","cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-90","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-not-updated-90","ci-not-updated-90","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs not updated in last 90 days","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","195","cmdb-sa-ham-dashboard-indicators.md#hw-ci-group-by","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#hw-ci-group-by","hw-ci-group-by","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","Hardware CIs group by","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","224","cmdb-sa-ham-dashboard-indicators.md#ci-missing-asset","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-missing-asset","ci-missing-asset","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CIs missing asset","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","236","cmdb-sa-ham-dashboard-indicators.md#asset-created-virtual-ci","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#asset-created-virtual-ci","asset-created-virtual-ci","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","Assets created for virtual CIs","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","248","cmdb-sa-ham-dashboard-indicators.md#assets-missing","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#assets-missing","assets-missing","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","Assets missing CI","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","260","cmdb-sa-ham-dashboard-indicators.md#ci-install-status-asset-state-matched","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-install-status-asset-state-matched","ci-install-status-asset-state-matched","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CI install status vs. asset state matched","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard.md","260","cmdb-sa-ham-dashboard-indicators.md#ci-install-status-asset-state-mismatched","","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md#ci-install-status-asset-state-mismatched","ci-install-status-asset-state-mismatched","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb-sa-ham-dashboard-indicators.md","CI install status vs. asset state mismatched","","","","","2","","cmdb-success-advisor-for-ham-dashboard-indicators","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb360-exp-cmdb-workspace.md","40","workspc-mltsrc-configure.md#substeps_my2_p3z_dvb","","markdown/servicenow-platform/configuration-management-database-cmdb/workspc-mltsrc-configure.md#substeps_my2_p3z_dvb","substeps_my2_p3z_dvb","markdown/servicenow-platform/configuration-management-database-cmdb/workspc-mltsrc-configure.md","Number of days since CIs were last discovered by a discovery source","","","","","6","","about-this-task","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/cmdb360-exp-cmdb-workspace.md","55","workspc-mltsrc-configure.md#substeps_my2_p3z_dvb","","markdown/servicenow-platform/configuration-management-database-cmdb/workspc-mltsrc-configure.md#substeps_my2_p3z_dvb","substeps_my2_p3z_dvb","markdown/servicenow-platform/configuration-management-database-cmdb/workspc-mltsrc-configure.md","Data mismatch","","","","","6","","about-this-task","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","31","sg-workspace-ingestion-view.md#section_lrx_f51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_lrx_f51_cjc","section_lrx_f51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","Ingested and processed data","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","32","sg-workspace-ingestion-view.md#section_gps_l51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_gps_l51_cjc","section_gps_l51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","Data processing performance","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","33","sg-workspace-ingestion-view.md#section_w2h_n51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_w2h_n51_cjc","section_w2h_n51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","Filters","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","199","sg-workspace-ingestion-view.md#section_w2h_n51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_w2h_n51_cjc","section_w2h_n51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","selected filters","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","203","sg-workspace-ingestion-view.md#importset","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#importset","importset","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","SGC.Integrations.ImportSet","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","205","sg-workspace-ingestion-view.md#succ-import-set","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#succ-import-set","succ-import-set","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","SGC.Fully.successful.ImportSet","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","207","sg-workspace-ingestion-view.md#part-succ-import-set","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#part-succ-import-set","part-succ-import-set","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","SGC.Part.success.ImportSet","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","209","sg-workspace-ingestion-view.md#error-import-set","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#error-import-set","error-import-set","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","SGC.Fully.error.ImportSet","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","217","sg-workspace-ingestion-view.md#section_w2h_n51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_w2h_n51_cjc","section_w2h_n51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","selected filters","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","221","sg-workspace-ingestion-view.md#import-set-rows","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#import-set-rows","import-set-rows","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","SGC.Integrations.Importset.rows.ingested","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","229","sg-workspace-ingestion-view.md#section_w2h_n51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_w2h_n51_cjc","section_w2h_n51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","selected filters","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","241","sg-workspace-ingestion-view.md#section_w2h_n51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_w2h_n51_cjc","section_w2h_n51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","selected filters","","","","","10","","access","0"
"none","0","missing target anchor","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","270","sg-workspace-ingestion-view.md#section_w2h_n51_cjc","","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md#section_w2h_n51_cjc","section_w2h_n51_cjc","markdown/servicenow-platform/configuration-management-database-cmdb/sg-workspace-ingestion-view.md","selected filters","","","","","10","","access","0"
